Wk,Day,Family,OT1,OT2,OT3,Full OT,Psalms,NT
,Thu,Psalm 16,Numbers 2,Amos 5,Jeremiah 39,1 Chronicles 22-24,137,Romans 12
,Fri,Psalm 19,Numbers 3,Amos 6,Jeremiah 40,1 Chronicles 25-27,138,Romans 13
,,,,,,,,
25,Mon,Psalm 22,Numbers 4,Amos 7,Jeremiah 41,1 Chronicles 28-29,139,Romans 14
,Tue,Psalm 23,Numbers 5,Amos 8,Jeremiah 42,2 Chronicles 1-3,140,Romans 15
,Wed,Psalm 31,Numbers 6,Amos 9,Jeremiah 43,2 Chronicles 4-6,141-142,Romans 16
,Thu,Psalm 32,Numbers 7,Jonah 1,Jeremiah 44,2 Chronicles 7-9,143,Luke 1
,Fri,Psalm 34,Numbers 8,Jonah 2,Jeremiah 45,2 Chronicles 10-12,144,Luke 2
,,,,,,,,
26,Mon,Psalm 51,Numbers 9,Jonah 3,Jeremiah 46,2 Chronicles 13-15,145,Luke 3
,Tue,Psalm 62,Numbers 10,Jonah 4,Jeremiah 47,2 Chronicles 16-18,146,Luke 4
,Wed,Psalm 63,Numbers 11,2 Kings 15,Jeremiah 48,2 Chronicles 19-21,147,Luke 5
,Thu,Psalm 72,Numbers 12,2 Kings 16,Jeremiah 49,2 Chronicles 22-24,148,Luke 6
,Fri,Psalm 73,Numbers 13,2 Kings 17,Jeremiah 50,2 Chronicles 25-27,149-150,Luke 7
,,,,,,,,
27,Mon,Psalm 90,Numbers 14,2 Kings 18,Jeremiah 51,2 Chronicles 28-30,1-2,Luke 8
,Tue,Psalm 103,Numbers 15,2 Kings 19,Jeremiah 52,2 Chronicles 31-33,3,Luke 9
,Wed,Psalm 104,Numbers 16,2 Kings 20,,2 Chronicles 34-36,4,Luke 10
,Thu,Psalm 121,Numbers 17,Micah 1,,Ezra 1-4,5,Luke 11
,Fri,Psalm 139,Numbers 18,Micah 2,,Ezra 5-7,6,Luke 12
,,,,,,,,
28,Mon,Proverbs 1,Numbers 19,Micah 3,Lamentations 1,Ezra 8-10,7,Luke 13
,Tue,Proverbs 2,Numbers 20,Micah 4,Lamentations 2,Nehemiah 1-3,8,Luke 14
,Wed,Proverbs 3,Numbers 21,Micah 5,Lamentations 3,Nehemiah 4-6,9-10,Luke 15
,Thu,Isaiah 6,Numbers 22,Micah 6,Lamentations 4,Nehemiah 7-9,11,Luke 16
,Fri,Isaiah 9,Numbers 23,Micah 7,Lamentations 5,Nehemiah 10-13,12,Luke 17
,,,,,,,,
29,Mon,Isaiah 11,Numbers 24,Isaiah 1,Ezekiel 1,Esther 1-3,13-14,Luke 18
,Tue,Isaiah 25,Numbers 25,Isaiah 2,Ezekiel 2,Esther 4-6,15,Luke 19
,Wed,Isaiah 40,Numbers 26,Isaiah 3,Ezekiel 3,Esther 7-10,16,Luke 20
,Thu,Isaiah 53,Numbers 27,Isaiah 4,Ezekiel 4,Job 1-3,17,Luke 21
,Fri,Isaiah 61,Numbers 28,Isaiah 5,Ezekiel 5,Job 4-6,18,Luke 22
,,,,,,,,
30,Mon,Jeremiah 23,Numbers 29,Isaiah 6,Ezekiel 6,Job 7-9,19,Luke 23
,Tue,Jeremiah 31,Numbers 30,Isaiah 7,Ezekiel 7,Job 10-12,20,Luke 24
,Wed,Ezekiel 34,Numbers 31,Isaiah 8,Ezekiel 8,Job 13-15,21,Acts 1
,Thu,Ezekiel 36,Numbers 32,Isaiah 9,Ezekiel 9,Job 16-18,22,Acts 2
,Fri,Ezekiel 37,Numbers 33,Isaiah 10,Ezekiel 10,Job 19-21,23-24,Acts 3
,,,,,,,,
31,Mon,Luke 1,Numbers 34,Isaiah 11,Ezekiel 11,Job 22-24,25,Acts 4
,Tue,Luke 2,Numbers 35,Isaiah 12,Ezekiel 12,Job 25-27,26,Acts 5
,Wed,Luke 3,Numbers 36,Isaiah 13,Ezekiel 13,Job 28-30,27,Acts 6
,Thu,John 1,Deuteronomy 1,Isaiah 14,Ezekiel 14,Job 31-33,28-29,Acts 7
,Fri,John 2,Deuteronomy 2,Isaiah 15,Ezekiel 15,Job 34-36,30,Acts 8
,,,,,,,,
32,Mon,John 3,Deuteronomy 3,Isaiah 16,Ezekiel 16,Job 37-39,31,Acts 9
,Tue,Mark 1,Deuteronomy 4,Isaiah 17,Ezekiel 17,Job 40-42,32,Acts 10
,Wed,Mark 2,Deuteronomy 5,Isaiah 18,Ezekiel 18,Proverbs 1-3,33,Acts 11
,Thu,Mark 3,Deuteronomy 6,Isaiah 19,Ezekiel 19,Proverbs 4-6,34,Acts 12
,Fri,Mark 4,Deuteronomy 7,Isaiah 20,Ezekiel 20,Proverbs 7-9,35,Acts 13
,,,,,,,,
33,Mon,Matthew 5,Deuteronomy 8,Isaiah 21,Ezekiel 21,Proverbs 10-12,36,Acts 14
,Tue,Matthew 6,Deuteronomy 9,Isaiah 22,Ezekiel 22,Proverbs 13-15,37,Acts 15
,Wed,Matthew 7,Deuteronomy 10,Isaiah 23,Ezekiel 23,Proverbs 16-18,38,Acts 16
,Thu,Luke 7,Deuteronomy 11,Isaiah 24,Ezekiel 24,Proverbs 19-21,39,Acts 17
,Fri,Mark 5,Deuteronomy 12,Isaiah 25,Ezekiel 25,Proverbs 22-24,40,Acts 18
,,,,,,,,
34,Mon,Luke 9,Deuteronomy 13,Isaiah 26,Ezekiel 26,Proverbs 25-27,41,Acts 19
,Tue,Luke 10,Deuteronomy 14,Isaiah 27,Ezekiel 27,Proverbs 28-29,42-43,Acts 20
,Wed,Luke 14,Deuteronomy 15,Isaiah 28,Ezekiel 28,Proverbs 30-31,44,Acts 21
,Thu,Luke 15,Deuteronomy 16,Isaiah 29,Ezekiel 29,Ecclesiastes 1-3,45,Acts 22
,Fri,Luke 16,Deuteronomy 17,Isaiah 30,Ezekiel 30,Ecclesiastes 4-6,46,Acts 23
,,,,,,,,
35,Mon,Luke 17,Deuteronomy 18,Isaiah 31,Ezekiel 31,Ecclesiastes 7-9,47-48,Acts 24
,Tue,Luke 18,Deuteronomy 19,Isaiah 32,Ezekiel 32,Ecclesiastes 10-12,49,Acts 25
,Wed,John 10,Deuteronomy 20,Isaiah 33,Ezekiel 33,Song of Solomon 1-3,50,Acts 26
,Thu,John 11,Deuteronomy 21,Isaiah 34,Ezekiel 34,Song of Solomon 4-6,51,Acts 27
